audienceType,name,categorySummary,summary
"Location Audience","Kumon","Points of interest > Education > Tutoring > Kumon","People in this audience have recently visited a Kumon location."
"Location Audience","Kwik Fill","Points of interest > Auto > Gas Stations > Kwik Fill","People in this audience have recently visited a Kwik Fill location."
"Location Audience","LA Fitness","Points of interest > Health > Fitness Clubs > LA Fitness","People in this audience have recently visited a LA Fitness location."
"Crafted Audience","LED Lighting Shoppers","Consumer > Retail > Home > LED Lighting Shoppers","Consumers shopping for LED light bulbs and lighting fixtures."
"Crafted Audience","LGBT Activists","Lifestyle > Political > LGBT Activists","People visiting sites advocating LGBT rights."
"Content Cluster","LGBTQ Advocacy","Content Clusters > LGBTQ Advocacy","People in this audience are interested in advocacy for the lesbian, gay, bisexual, transgender, and queer communities."
"Location Audience","LL Bean","Points of interest > Retail > Apparel > LL Bean","People in this audience have recently visited a LL Bean location."
"Location Audience","LOFT","Points of interest > Retail > Apparel > LOFT","People in this audience have recently visited a LOFT location."
"Location Audience","La Quinta","Points of interest > Travel > Hotels > La Quinta","People in this audience have recently visited a La Quinta location."
"Content Cluster","Lacrosse College Athletics","Content Clusters > Lacrosse College Athletics","People in this audience are interested in lacrosse college athletics."
"Crafted Audience","Lacrosse Enthusiasts","Lifestyle > Activities > Sports > Lacrosse Enthusiasts","People researching lacrosse leagues and purchasing equipment and apparel."
"Location Audience","Lady Foot Locker","Points of interest > Retail > Footwear > Lady Foot Locker","People in this audience have recently visited a Lady Foot Locker location."
"Location Audience","Lamps Plus","Points of interest > Retail > Home Maintenance > Lamps Plus","People in this audience have recently visited a Lamps Plus location."
"Location Audience","Land Rover","Points of interest > Auto > Manufacturers > Land Rover","People in this audience have recently visited a Land Rover location."
"Crafted Audience","Land Rover Shoppers","Consumer > Auto > Land Rover Shoppers","People researching and comparing Land Rover vehicles. These consumers are more likely to spend money on a new or used car."
"Crafted Audience","Landscape Architects","Lifestyle > Occupation > Landscape Architects","Professionals reading industry news and researching products and services for landscape design."
"Location Audience","Lane Bryant","Points of interest > Retail > Apparel > Lane Bryant","People in this audience have recently visited a Lane Bryant location."
"Crafted Audience","Language Learners","Consumer > Media > Language Learners","People using sites and online resources to learn a new language."
"Crafted Audience","Laptop Researchers","Consumer > Electronics > Laptop Researchers","Consumers shopping for laptops and laptop accessories."
"Crafted Audience","Las Vegas Hotel Researchers","Lifestyle > Activities > Las Vegas Hotel Researchers","People researching Las Vegas Hotels"
"Content Cluster","Las Vegas Hotels","Content Clusters > Las Vegas Hotels","People in this audience are interested in Las Vegas hotels and casinos."
"Crafted Audience","Las Vegas Nightlife Researchers","Consumer > Travel > Las Vegas Nightlife Researchers","People researching nightlife in Las Vegas."
"Crafted Audience","Las Vegas Trip Planners","Consumer > Travel > Las Vegas Trip Planners","People researching attractions and accommodations in Las Vegas. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Crafted Audience","Last Minute Travelers","Consumer > Travel > Last Minute Travelers","People researching and booking travel accommodations with little to no advanced notice."
"Content Cluster","Latest Sports News","Content Clusters > Latest Sports News","People in this audience are interested in sports news, basketball news, football news, and soccer news."
"Content Cluster","Latin American News","Content Clusters > Latin American News","People in this audience are interested in Latin American news."
"Content Cluster","Latin American Spanish Language News","Content Clusters > Latin American Spanish Language News","People in this audience are interested in news about Latin American written in Spanish."
"Crafted Audience","Law Enforcement Officers","Lifestyle > Occupation > Law Enforcement Officers","Professionals reading industry news and researching products and services for law enforcement."
"Content Cluster","Law School","Content Clusters > Law School","People in this audience are interested in content about law schools."
"Content Cluster","Law School Research Cluster","Content Clusters > Law School Research Cluster","People in this audience are interested in law, legal, law school, course review, and legal brief."
"Crafted Audience","Lawn & Garden Enthusiasts","Consumer > Retail > Home > Lawn & Garden Enthusiasts","Consumers reseraching lawn and garden maintenance techniques."
"Crafted Audience","Lawn and Home Pest Control Researchers","Consumer > Retail > Home > Lawn and Home Pest Control Researchers","Consumers researching lawn and home pest control products and techniques."
"Content Cluster","Lawns & Pest Control","Content Clusters > Lawns & Pest Control","People in this audience are interested in lawns and pest control."
"Crafted Audience","Lawyers","Lifestyle > Occupation > Lawyers","People reading legal journals and industry publications."
"Crafted Audience","League of Legends Video Game Fans","Consumer > Media > League of Legends Video Game Fans","People reading League of Legends news and following gaming trends."
"Content Cluster","Learning & Development Products","Content Clusters > Learning & Development Products","People in this audience are interested in learning and development products, including career development, public speaking, innovation, and surveys."
"Crafted Audience","Leather Goods Shoppers","Consumer > Retail > Apparel > Leather Goods Shoppers","Consumers shopping for items like apparel and luggage from brands that specialize in leather goods."
"Crafted Audience","Legal Advice Researchers","Consumer > General Consumer > Legal Advice Researchers","People researching and comparing services for legal advice."
"Crafted Audience","Legal Help Seekers","Consumer > General Consumer > Legal Help Seekers","People researching and comparing law firms for legal representation."
"Content Cluster","Legal Information Research Cluster","Content Clusters > Legal Information Research Cluster","People in this audience are interested in a variety of content related to the law, including law firms, litigation, and legal news."
"Crafted Audience","Legal News Readers","Consumer > General Consumer > Legal News Readers","People reading news about law and the latest legal cases."
"Location Audience","Legal Sea Foods","Points of interest > Restaurants > Casual Restaurants > Legal Sea Foods","People in this audience have recently visited a Legal Sea Foods location."
"Location Audience","Lego Shop","Consumer > Retail > Lego Shop","People in this audience have recently visited a Lego Shop location"
"Location Audience","Lenscrafters","Points of interest > Retail > Accessories > Lenscrafters","People in this audience have recently visited a Lenscrafters location."
"Location Audience","Les Schwab","Points of interest > Auto > Service Supplies > Les Schwab","People in this audience have recently visited a Les Schwab location."
"Location Audience","Levi Strauss","Points of interest > Retail > Apparel > Levi Strauss","People in this audience have recently visited a Levi Strauss location."
"Location Audience","Lexus","Points of interest > Auto > Manufacturers > Lexus","People in this audience have recently visited a Lexus location."
"Content Cluster","Liberal Media","Content Clusters > Liberal Media","People in this audience are interested in liberal media content."
"Content Cluster","Liberal Media - Political Activism","Content Clusters > Liberal Media - Political Activism","People in this audience are interested in liberal media content."
"Crafted Audience","Liberal News Readers","Lifestyle > Political > Liberal News Readers","People reading left-leaning financial news websites."
"Crafted Audience","Liberal Think Tank Readers","Lifestyle > Political > Liberal Think Tank Readers","People visiting sites related to liberal think tanks."
"Content Cluster","Liberal Views on Government, Finance, and Economy","Content Clusters > Liberal Views on Government, Finance, and Economy","People in this audience are interested in content about specific liberal causes."
"Content Cluster","Liberal Views on LGBTQ Rights and Pro-Choice","Content Clusters > Liberal Views on LGBTQ Rights and Pro-Choice","People in this audience are interested in liberal causes, such as LGBTQ rights, unions, and planned parenthood. This audience is also interested in Native American culture."
"Location Audience","Liberty Petroleum","Points of interest > Auto > Gas Stations > Liberty Petroleum","People in this audience have recently visited a Liberty Petroleum location."
"Crafted Audience","Life Insurance Researchers","Consumer > Financial Services > Insurance > Life Insurance Researchers","People researching and comparing life insurance policies. These consumers are more likely to spend money with insurance companies."
"Content Cluster","Lifestyle Publications","Content Clusters > Lifestyle Publications","People in this audience are interested in large/mainstream lifestyle publications."
"Location Audience","Lifetime Fitness","Points of interest > Health > Fitness Clubs > Lifetime Fitness","People in this audience have recently visited a Lifetime Fitness location."
"Crafted Audience","Light Bulb Shoppers","Consumer > Retail > Home > Light Bulb Shoppers","Consumers shopping for light bulbs and lighting fixtures."
"Content Cluster","Lighting & Power","Content Clusters > Lighting & Power","People in this audience are interested in lighting, commercial lighting, batteries, and electrical engineering."
"Location Audience","Little Caesars","Points of interest > Restaurants > QSR > Little Caesars","People in this audience have recently visited a Little Caesars location."
"Crafted Audience","Little Rock Trip Planners","Consumer > Travel > Little Rock Trip Planners","People researching attractions and accommodations in Little Rock, Arkansas. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Crafted Audience","Live Concert Fans","Consumer > Media > Music > Live Concert Fans","Consumers researching live concerts and music festivals."
"Content Cluster","Live Music","Content Clusters > Live Music","People in this audience are interested in live music, concert dates, and tickets."
"Crafted Audience","Loan Comparison Researchers","Consumer > Financial Services > Loan Comparison Researchers","Consumers researching and comparing loan offerings from different financial institutions."
"Crafted Audience","Lobbyists","Lifestyle > Occupation > Lobbyists","Professionals reading industry news on lobbying."
"Content Cluster","Local & Travel England - East Midlands","Content Clusters > Local & Travel England - East Midlands","People in this audience are interested in a variety of content related to the United Kingdom."
"Content Cluster","Local & Travel England - North Midlands","Content Clusters > Local & Travel England - North Midlands","People in this audience are interested in a variety of content related to the United Kingdom, such as Rotterdam and Nottingham."
"Content Cluster","Local & Travel England - Northern England","Content Clusters > Local & Travel England - Northern England","People in this audience are interested in a variety of content related to the United Kingdom, such as tourism, bus travel, and college."
"Content Cluster","Local Events & Travel Guide","Content Clusters > Local Events & Travel Guide","People in this audience are interested in travel, tourism, weather, travel guides, tour guides, and local events."
"Location Audience","Logistics","Points of interest > Retail > Home > Logistics","People in this audience have recently visited a Logistics location."
"Crafted Audience","Logistics Professionals","Lifestyle > Occupation > Logistics Professionals","Professionals reading industry news and researching products and services for logistics."
"Content Cluster","London Tourism","Content Clusters > London Tourism","People in this audience are interested in travel and tickets in London, United Kingdom."
"Content Cluster","London Tourism & Events","Content Clusters > London Tourism & Events","People in this audience are interested in travel and tickets in London, United Kingdom."
"Crafted Audience","Long Beach California Trip Planners","Consumer > Travel > Long Beach California Trip Planners","People researching attractions and accommodations in Long Beach, California. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Location Audience","Long John Silver's","Points of interest > Restaurants > QSR > Long John Silver's","People in this audience have recently visited a Long John Silver's location."
"Location Audience","Longhorn Steakhouse","Points of interest > Restaurants > Casual Restaurants > Longhorn Steakhouse","People in this audience have recently visited a Longhorn Steakhouse location."
"Location Audience","Lord & Taylor","Points of interest > Retail > Department Stores > Lord & Taylor","People in this audience have recently visited a Lord & Taylor location."
"Location Audience","Lorna Jane","Points of interest > Retail > Apparel > Lorna Jane","People in this audience have recently visited a Lorna Jane location."
"Crafted Audience","Los Angeles Activities Researchers","Lifestyle > Activities > Los Angeles Activities Researchers","People researching Los Angeles activities"
"Crafted Audience","Los Angeles Angels Fans","Consumer > Media > Sports Fans > Los Angeles Angels Fans","Fans of Los Angeles Angels"
"Crafted Audience","Los Angeles Chargers Fans","Consumer > Media > Sports Fans > Los Angeles Chargers Fans","People reading news about the Los Angeles Chargers and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Los Angeles Clippers Fans","Consumer > Media > Sports Fans > Los Angeles Clippers Fans","People reading news about the Los Angeles Clippers and watching games. These consumers are more likely to spend money on team gear."
"Content Cluster","Los Angeles Cluster","Content Clusters > Los Angeles Cluster","People in this audience are interested in a variety of content related to the City of Los Angeles."
"Crafted Audience","Los Angeles Dodgers Fans","Consumer > Media > Sports Fans > Los Angeles Dodgers Fans","Fans of Los Angeles Dodgers"
"Crafted Audience","Los Angeles Lakers Fans","Consumer > Media > Sports Fans > Los Angeles Lakers Fans","People reading news about the Los Angeles Lakers and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Los Angeles Mass Transit Commuters","Consumer > General Consumer > Los Angeles Mass Transit Commuters","People reading news about mass transit systems in Los Angeles and using commuter resources."
"Content Cluster","Los Angeles News","Content Clusters > Los Angeles News","People in this audience are interested in news related to the City of Los Angeles, California."
"Crafted Audience","Los Angeles Rams Fans","Consumer > Media > Sports Fans > Los Angeles Rams Fans","People reading news about the Los Angeles Rams and watching games. These consumers are more likely to spend money on team gear."
"Content Cluster","Los Angeles Tourism","Content Clusters > Los Angeles Tourism","People in this audience are interested in tourism content related to the City of Los Angeles."
"Crafted Audience","Los Angeles Trip Planners","Consumer > Travel > Los Angeles Trip Planners","Consumers in-market for Los Angeles trips and vacations."
"Crafted Audience","Louisiana Activities Researchers","Lifestyle > Activities > Louisiana Activities Researchers","People researching Louisiana activities"
"Crafted Audience","Louisiana Creole Food Enthusiasts","Consumer > CPG > Food > Louisiana Creole Food Enthusiasts","People reading about Louisiana Creole food and researching recipes."
"Crafted Audience","Louisiana State University Tigers Fans","Consumer > Media > Sports Fans > Louisiana State University Tigers Fans","Fans of Louisiana State University Tigers"
"Crafted Audience","Louisiana Trip Planners","Consumer > Travel > Louisiana Trip Planners","People researching attractions and accommodations in Louisiana. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Crafted Audience","Louisville Cardinals Fans","Consumer > Media > Sports Fans > Louisville Cardinals Fans","Fans of Louisville Cardinals"
"Location Audience","Loves Travel Stops","Points of interest > Auto > Gas Stations > Loves Travel Stops","People in this audience have recently visited a Loves Travel Stop location"
"Content Cluster","Low Budget Shoppers","Content Clusters > Low Budget Shoppers","People in this audience are interested in prepaid cell phones, rental furniture, and discount shopping."
"Content Cluster","Low Carb Diets","Content Clusters > Low Carb Diets","People in this audience are interested in low carbohydrate diets."
"Location Audience","Lowe's","Points of interest > Retail > Home Maintenance > Lowe's","People in this audience have recently visited a Lowe's location."
"Location Audience","Lowes Food","Points of interest > Retail > Grocery > Lowes Food","People in this audience have recently visited a Lowes Food location."
"Location Audience","Lucky Strike Entertainment","Points of interest > Entertainment > Casinos > Lucky Strike Entertainment","People in this audience have recently visited a Lucky Strike Entertainment location."
"Location Audience","Luckys-market","Points of interest > Retail > Grocery > Luckys-market","People in this audience have recently visited a Luckys-market location."
"Crafted Audience","Luggage Shoppers","Consumer > Travel > Luggage Shoppers","Consumers in-market for new luggage."
"Location Audience","Lululemon","Points of interest > Retail > Apparel > Lululemon","People in this audience have recently visited a Lululemon location."
"Location Audience","Lush","Consumer > CPG > Beauty > Lush","People in this audience have recently visited a Lush location"
"Crafted Audience","Luxury Athletic Footwear Shoppers","Consumer > Retail > Apparel > Luxury Athletic Footwear Shoppers","People shopping for luxury athletic footwear"
"Crafted Audience","Luxury Bedding Shoppers","Consumer > Retail > Home > Luxury Bedding Shoppers","Consumers shopping for luxury bedding."
"Crafted Audience","Luxury Boutique Hotel Researchers","Consumer > Travel > Luxury Boutique Hotel Researchers","Consumers comparing or purchasing accommodations at luxury, boutique hotels."
"Crafted Audience","Luxury Department Store Shoppers","Consumer > Retail > Apparel > Luxury Department Store Shoppers","Consumers shopping at luxury department stores."
"Crafted Audience","Luxury Fitness Shoppers","Consumer > Media > Sports Fans > Luxury Fitness Shoppers","People shopping for luxury fitness activities"
"Crafted Audience","Luxury Home Fixture Shoppers","Consumer > Retail > Home > Luxury Home Fixture Shoppers","Consumers researching and comparing luxury home fixtures. These consumers are more likely to spend money on home remodeling."
"Crafted Audience","Luxury Hotel Guests","Consumer > Travel > Luxury Hotel Guests","High income individuals researching and booking hotel rooms."
"Crafted Audience","Luxury Kitchen Goods Shoppers","Consumer > Retail > Home > Luxury Kitchen Goods Shoppers","Consumers researching and comparing luxury kitchen goods. These consumers are more likely to spend money on home remodeling."
"Crafted Audience","Luxury Retail Researchers","Consumer > Retail > Luxury Retail Researchers","Consumers researching luxury product reviews and gift ideas."
"Crafted Audience","Luxury Retail Shoppers","Consumer > Retail > Luxury Retail Shoppers","Consumers shopping for high end fashion apparel and accessories."
"Crafted Audience","Luxury Second Home Owners","Consumer > Retail > Home > Luxury Second Home Owners","High income individuals with more than one home."
"Content Cluster","Luxury Sneakers","Content Clusters > Luxury Sneakers","People in this audience are interested in luxury sneakers."
"Crafted Audience","Luxury Travel Researchers","Consumer > Travel > Luxury Travel Researchers","Consumers reading online reviews of luxury travel options."
"Crafted Audience","Luxury Watch Shoppers","Consumer > Retail > Apparel > Luxury Watch Shoppers","Consumers shopping for watches from luxury brands."
"Crafted Audience","Luxury Womens Brands Shoppers","Consumer > Retail > Apparel > Luxury Womens Brands Shoppers","Consumers shopping for clothing and accessories from luxury women's brands."
"Crafted Audience","Lyrics Researchers","Consumer > Media > Music > Lyrics Researchers","Consumers reading about popular music and the lyrics of songs."
"Content Cluster","MBA Education","Content Clusters > MBA Education","People in this audience are interested in MBA programs and preparation materials for business school."
"Location Audience","MGM Grand Resorts","Points of interest > Entertainment > Casinos > MGM Grand Resorts","People in this audience have recently visited a MGM Grand Resorts location."
"Location Audience","MINI","Points of interest > Auto > Manufacturers > MINI","People in this audience have recently visited a MINI location."
"Crafted Audience","MLB Fans","Consumer > Media > Sports Fans > MLB Fans","People reading articles and websites about baseball and the MLB."
"Location Audience","MLB Stadiums","Points of interest > Sports > Stadiums > MLB Stadiums","People in this audience have recently visited a MLB Stadiums location."
"Crafted Audience","MS Information Researchers","Consumer > Healthcare > MS Information Researchers","People researching multiple sclerosis treatments and charities."
"Location Audience","Macaroni Grill","Points of interest > Restaurants > Casual Restaurants > Macaroni Grill","People in this audience have recently visited a Macaroni Grill location."
"Content Cluster","Machines & Industrial Supplies","Content Clusters > Machines & Industrial Supplies","People in this audience are interested in plastics, chemicals, machinery, tools, and other industrial equipment."
"Location Audience","Macy's","Points of interest > Retail > Department Stores > Macy's","People in this audience have recently visited a Macy's location."
"Location Audience","Madewell","Points of interest > Retail > Apparel > Madewell","People in this audience have recently visited a Madewell location."
"Content Cluster","Magic & Games","Content Clusters > Magic & Games","People in this audience are interested in magic, cards, games, cards, and hobbies."
"Location Audience","Mahindra","Points of interest > Auto > Manufacturers > Mahindra","People in this audience have recently visited a Mahindra location."
"Crafted Audience","Mahjong Players","Lifestyle > Activities > Mahjong Players","People joining mahjong communities and playing mahjong online."
"Content Cluster","Mail Order Food","Content Clusters > Mail Order Food","People in this audience are interested in mail order food, including gourmet food."
"Crafted Audience","Mailing & Shipping Shoppers","Consumer > B2B > Mailing & Shipping Shoppers","Consumers shopping for shipping supplies and postage."
"Content Cluster","Maine Cluster","Content Clusters > Maine Cluster","People in this audience are interested in a variety of content related to Maine."
"Content Cluster","Mainstream Media","Content Clusters > Mainstream Media","People in this audience are interested in mainstream media content."
"Crafted Audience","Major Airline Customers","Consumer > Travel > Major Airline Customers","People visiting sites for major airline brands to plan and view travel itinerary."
"Crafted Audience","Major Appliance Shoppers","Consumer > Retail > Home > Major Appliance Shoppers","Consumers shopping for major home appliances."
"Crafted Audience","Makeup Researchers","Consumer > CPG > Beauty > Makeup Researchers","People reading about new beauty products."
"Content Cluster","Malaya","Content Clusters > Malaya","People in this audience are interested in news related to the Malay Peninsula."
"Crafted Audience","Malaysian Food Enthusiasts","Consumer > CPG > Food > Malaysian Food Enthusiasts","People reading about Malaysian food and researching recipes."
"Crafted Audience","Manchester United Fans","Consumer > Media > Sports Fans > Manchester United Fans","People reading news about the Manchester United football club and watching games. These consumers are more likely to spend money on team gear."
"Content Cluster","Maps & Navigation","Content Clusters > Maps & Navigation","People in this audience are interested in maps, navigation, and topography."
"Location Audience","Marathon Petroleum","Points of interest > Auto > Gas Stations > Marathon Petroleum","People in this audience have recently visited a Marathon Petroleum location."
"Crafted Audience","March Madness Enthusiasts","Consumer > Media > Sports Fans > March Madness Enthusiasts","People watching college basketball and reading about March Madness."
"Crafted Audience","Mardi Gras Celebrators","Lifestyle > Holidays > Mardi Gras Celebrators","People researching traditions and planning celebrations for Mardi Gras."
"Location Audience","Marianos","Points of interest > Retail > Grocery > Marianos","People in this audience have recently visited a Marianos location."
"Content Cluster","Marijuana","Content Clusters > Marijuana","People in this audience are interested in cannabis, Marijuana, seeds, hydroponics, and vapes."
"Crafted Audience","Marijuana Legalization Advocates","Lifestyle > Political > Marijuana Legalization Advocates","People visiting sites advocating the legalization of marijuana."
"Crafted Audience","Marijuana Prohibition Advocates","Lifestyle > Political > Marijuana Prohibition Advocates","People visiting sites advocating the prohibition of marijuana."
"Crafted Audience","Marines","Lifestyle > Occupation > Marines","People in the Marines"
"Crafted Audience","Market Intelligence Researchers","Consumer > B2B > Market Intelligence Researchers","Professionals reading industry news focused on market intelligence."
"Content Cluster","Marketing Professionals","Content Clusters > Marketing Professionals","People in this audience are interested in marketing, advertising, and communications."
"Location Audience","Marriott","Points of interest > Travel > Hotels > Marriott","People in this audience have recently visited a Marriott location."
"Location Audience","Marsh","Points of interest > Retail > Grocery > Marsh","People in this audience have recently visited a Marsh location."
"Location Audience","Marshalls","Points of interest > Retail > Department Stores > Marshalls","People in this audience have recently visited a Marshalls location."
"Crafted Audience","Martial Arts Enthusiasts","Lifestyle > Activities > Sports > Martial Arts Enthusiasts","People reading martial arts news and purchasing products for their training."
"Location Audience","Martin's","Points of interest > Retail > Grocery > Martin's","People in this audience have recently visited a Martin's location."
"Location Audience","Maserati","Points of interest > Auto > Manufacturers > Maserati","People in this audience have recently visited a Maserati location."
"Location Audience","Massage Heights","Points of interest > Services > Salons > Massage Heights","People in this audience have recently visited a Massage Heights location."
"Crafted Audience","Masters in Management Researchers","Lifestyle > Lifestage > Masters in Management Researchers","People researching masters in management programs."
"Content Cluster","Math Education","Content Clusters > Math Education","People in this audience are interested in math education, teacher resources, lesson planning, and STEM learning."
"Content Cluster","Math Reference","Content Clusters > Math Reference","People in this audience are interested in math reference guides, math tutorials, and conversions."
"Location Audience","Mattress Firm","Points of interest > Retail > Home > Mattress Firm","People in this audience have recently visited a Mattress Firm location."
"Crafted Audience","Mattress Shoppers","Consumer > Retail > Home > Mattress Shoppers","Consumers considering purchasing a mattress."
"Location Audience","Mattress Warehouse","Points of interest > Retail > Home > Mattress Warehouse","People in this audience have recently visited a Mattress Warehouse location."
"Crafted Audience","Mature Parents","Lifestyle > Lifestage > Family > Mature Parents","Parents who had children later in life."
"Location Audience","Mazda","Points of interest > Auto > Manufacturers > Mazda","People in this audience have recently visited a Mazda location."
"Crafted Audience","Mazda Vehicle Shoppers","Consumer > Auto > Mazda Vehicle Shoppers","People researching and comparing Mazda vehicles. These consumers are more likely to spend money on a new or used car."
"Location Audience","McDonald's","Points of interest > Restaurants > QSR > McDonald's","People in this audience have recently visited a McDonald's location."
"Crafted Audience","Meal Kit Delivery Researchers","Consumer > CPG > Food > Meal Kit Delivery Researchers","Consumers researching and subscribing to meal kit delivery services."
"Location Audience","MedExpress Urgent Care","Points of interest > Health > Medical > MedExpress Urgent Care","People in this audience have recently visited a MedExpress Urgent Care location."
"Crafted Audience","Media Buying Professionals","Lifestyle > Occupation > Media Buying Professionals","Professionals reading advertising industry news and media buying trends."
"Content Cluster","Medical & Pharmaceutical Scholarship","Content Clusters > Medical & Pharmaceutical Scholarship","People in this audience are medical professionals interested in research and news."
"Crafted Audience","Medical Advice Researchers","Consumer > Healthcare > Medical Advice Researchers","People researching medical symptoms and seeking advice online."
"Crafted Audience","Medical Consultation Researchers","Consumer > Healthcare > Medical Consultation Researchers","People researching medical consultation options."
"Content Cluster","Medical Diagnostics","Content Clusters > Medical Diagnostics","People in this audience are interested in medical diagnostics, urgent care, healthcare, and drug information."
"Content Cluster","Medical Journals","Content Clusters > Medical Journals","People in this audience are interested in medical journals, health insurance, medical malpractice, and hospitals."
"Crafted Audience","Medical Science Researchers","Consumer > Health & Wellness > Medical Science Researchers","People researching medical science journals and publications."
"Content Cluster","Medical Supplies","Content Clusters > Medical Supplies","People in this audience are interested in medical supplies, including uniforms."
"Content Cluster","Medical Supplies and Information","Content Clusters > Medical Supplies and Information","People in this audience are interested in medical supplies and information."
"Crafted Audience","Medical Technology News Readers","Consumer > Media > Medical Technology News Readers","People reading industry news and following business trends for medical technology companies."
"Crafted Audience","Medicare Price Shoppers","Consumer > Healthcare > Medicare Price Shoppers","People comparing Medicare providers based on price."
"Crafted Audience","Medicare Provider Researchers","Consumer > Healthcare > Medicare Provider Researchers","People researching Medicare providers and options."
"Crafted Audience","Medicare Researchers","Consumer > Healthcare > Medicare Researchers","People reading Medicare news and benefits."
"Crafted Audience","Medieval History Enthusiasts","Lifestyle > Activities > Medieval History Enthusiasts","People researching medieval history and purchasing history books and products."
"Content Cluster","Meeting Planning & Hotels","Content Clusters > Meeting Planning & Hotels","People in this audience are interested in meeting planning and hotels."
"Location Audience","Meijer","Points of interest > Retail > Big Box > Meijer","People in this audience have recently visited a Meijer location."
"Location Audience","Meineke","Points of interest > Auto > Service Supplies > Meineke","People in this audience have recently visited a Meineke location."
"Content Cluster","Memes & Comedy","Content Clusters > Memes & Comedy","People in this audience are interested in generating memes and other comedy content."
"Crafted Audience","Memphis Grizzlies Fans","Consumer > Media > Sports Fans > Memphis Grizzlies Fans","People reading news about the Memphis Grizzlies and watching games. These consumers are more likely to spend money on team gear."
"Content Cluster","Memphis News","Content Clusters > Memphis News","People in this audience are interested in Memphis, the mid-South, Tennessee and family."
"Crafted Audience","Men's Clothing Shoppers","Consumer > Retail > Apparel > Men's Clothing Shoppers","Consumers in-market for mens clothing."
"Content Cluster","Men's Dress Shirt Shopping","Content Clusters > Men's Dress Shirt Shopping","People in this audience are interested in retail websites that sell men's dress shirts."
"Content Cluster","Men's Fashion Shopping","Content Clusters > Men's Fashion Shopping","People in this audience are interested in retail websites that sell men's fashion and accessories."
"Crafted Audience","Men's Health Researchers","Consumer > Healthcare > Men's Health Researchers","People researching mens health options."
"Crafted Audience","Men's Shoe Shoppers","Consumer > Retail > Apparel > Men's Shoe Shoppers","Consumers in-market for mens shoes."
"Crafted Audience","Men's Suit Shoppers","Consumer > Retail > Apparel > Men's Suit Shoppers","Consumers shopping for men's suits and formal attire."
"Crafted Audience","Men's Underwear Shoppers","Consumer > Retail > Apparel > Men's Underwear Shoppers","Consumers shopping for men's underwear."
"Location Audience","Menards","Points of interest > Retail > Home Maintenance > Menards","People in this audience have recently visited a Menards location."
"Crafted Audience","Menopause Researchers","Consumer > Healthcare > Menopause Researchers","People researching menopause symptoms."
"Crafted Audience","Mens Business Clothes Shoppers","Consumer > Retail > Apparel > Mens Business Clothes Shoppers","People shopping for mens business clothing"
"Crafted Audience","Mens Fashion Brands Shoppers","Consumer > Retail > Apparel > Mens Fashion Brands Shoppers","Consumers shopping for clothing and accessories from top men's fashion brands."
"Crafted Audience","Mens Fitness Publication Readers","Consumer > Media > Mens Fitness Publication Readers","People reading digital content on mens fitness."
"Crafted Audience","Mens Shaving Products Shoppers","Consumer > CPG > Beauty > Mens Shaving Products Shoppers","Consumers comparing or purchasing shaving products for men."
"Location Audience","Mens Wearhouse","Points of interest > Retail > Apparel > Mens Wearhouse","People in this audience have recently visited a Mens Wearhouse location."
"Location Audience","Mercedes","Points of interest > Auto > Manufacturers > Mercedes","People in this audience have recently visited a Mercedes location."
"Crafted Audience","Mercedes-Benz Vehicle Shoppers","Consumer > Auto > Mercedes-Benz Vehicle Shoppers","People researching and comparing Mercedes-Benz vehicles. These consumers are more likely to spend money on a new or used car."
"Crafted Audience","Metal Detecting Enthusiasts","Lifestyle > Activities > Metal Detecting Enthusiasts","People researching metal detecting and shopping for products and equipment."
"Crafted Audience","Metal and Rock Music Fans","Consumer > Media > Music > Metal and Rock Music Fans","People researching news and viewing online content focused on metal and rock music."
"Location Audience","MetroPCS","Points of interest > Retail > Telecom > MetroPCS","People in this audience have recently visited a MetroPCS location."
"Crafted Audience","Mexican Food Enthusiasts","Consumer > CPG > Food > Mexican Food Enthusiasts","People reading about Mexican food and researching recipes."
"Crafted Audience","Mexican Food Shoppers","Consumer > CPG > Food > Mexican Food Shoppers","Consumers shopping for products and ingredients for Mexican recipes."
"Content Cluster","Mexico Cluster","Content Clusters > Mexico Cluster","People in this audience are interested in a variety of content related to Mexico."
"Content Cluster","Mexico Travel","Content Clusters > Mexico Travel","People in this audience are interested in Mexico, travel, properties, and the Caribbean."
"Crafted Audience","Mexico Trip Planners","Consumer > Travel > Mexico Trip Planners","People researching attractions and accommodations in Mexico. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Crafted Audience","Miami Dolphins Fans","Consumer > Media > Sports Fans > Miami Dolphins Fans","People reading news about the Miami Dolphins and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Miami Heat Fans","Consumer > Media > Sports Fans > Miami Heat Fans","People reading news about the Miami Heat and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Miami Marlins Fans","Consumer > Media > Sports Fans > Miami Marlins Fans","Fans of Miami Marlins"
